MPN,Part Score,Priority,Part Category,Hard Stop,Score Detected Date,Human Explanation,Business Impact,Executive Summary,Root Cause Analysis,Recommendations,Score Detected Date
"TFA9879HN/N1,118",100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 88 out of 100, based on its RoHS/REACH standing and related trial results.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.","Part TFA9879HN/N1,118 is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 88 out of 100, based on its RoHS/REACH standing and related trial results.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.

📊 **Executive Summary**:
Part TFA9879HN/N1,118 is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent,2026-08-01
TCM320AC37CN,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.","Part TCM320AC37CN is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.

📊 **Executive Summary**:
Part TCM320AC37CN is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent,2026-08-01
TCM320AC36CPT,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.","Part TCM320AC36CPT is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.

📊 **Executive Summary**:
Part TCM320AC36CPT is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent; Monitor lifecycle status and open-market availability closely; Consider a last-time-buy if lifecycle status is end-of-life,2026-08-01
AD95231BCPZ,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Authorized Supplier as a secondary factor.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.","Part AD95231BCPZ is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Authorized Supplier as a secondary factor.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.

📊 **Executive Summary**:
Part AD95231BCPZ is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent; Monitor lifecycle status and open-market availability closely; Consider a last-time-buy if lifecycle status is end-of-life,2026-08-01
AB55703HCHCFLCT,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.","Part AB55703HCHCFLCT is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.

📊 **Executive Summary**:
Part AB55703HCHCFLCT is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent; Monitor lifecycle status and open-market availability closely; Consider a last-time-buy if lifecycle status is end-of-life,2026-08-01
A1006UK/TA1NXZ,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.","Part A1006UK/TA1NXZ is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.

📊 **Executive Summary**:
Part A1006UK/TA1NXZ is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent; Monitor lifecycle status and open-market availability closely; Consider a last-time-buy if lifecycle status is end-of-life,2026-08-01
SN104938DR,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.","Part SN104938DR is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.

📊 **Executive Summary**:
Part SN104938DR is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent,2026-08-01
SI53154A01AGMR,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.","Part SI53154A01AGMR is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.

📊 **Executive Summary**:
Part SI53154A01AGMR is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent,2026-08-01
NTC6416ANLTS1,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.","Part NTC6416ANLTS1 is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results. Open-market stock conditions for this part are driven mainly by Lifecycle, with Supplier Diversity as a secondary factor.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility. If this part needed to be resourced quickly on the open market, availability conditions right now make that very difficult.

📊 **Executive Summary**:
Part NTC6416ANLTS1 is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent; Monitor lifecycle status and open-market availability closely; Consider a last-time-buy if lifecycle status is end-of-life,2026-08-01
MC44BS374T1EFR2,100.0,Immediate,Critical,True,2026-08-01,"This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.","If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.","Part MC44BS374T1EFR2 is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.","📌 **Explanation**:
This part is capped at the maximum risk score because it triggered the documented hard-stop rule: Compliance risk is High Risk AND Alternative risk is Critical at the same time. When both are true, the part is treated as maximum risk regardless of what the individual factor scores would otherwise suggest. There are currently no verified alternative parts for this component, so if it becomes unavailable there is no fallback in place. This part carries a regulatory compliance risk score of 85 out of 100, based on its RoHS/REACH standing and related trial results.

💼 **Business Impact**:
If this part becomes unavailable, there is essentially no fallback, so the impact on production would be severe and immediate. Compliance exposure is severe enough that a regulatory issue (an import block, a customer rejection, or a required redesign) is a real near-term possibility.

📊 **Executive Summary**:
Part MC44BS374T1EFR2 is forced to Critical risk (score 100) by the hard-stop rule, because Compliance risk is High Risk and Alternative risk is Critical at the same time. Timely action on these areas is recommended to reduce the risk of a supply disruption.",Resolve the compliance flag or qualify a verified alternative part -- either one on its own would lift this part out of the hard-stop rule; Prioritize qualifying an alternative part immediately; Evaluate a redesign to a more available component; Escalate to compliance/quality for a formal review; Confirm current RoHS/REACH certificates before further use; Evaluate whether this part can be replaced with a compliant equivalent,2026-08-01
